number, runtime (milliseconds), runtime (nanoseconds), prime factors
878250092,1953,1955379826,[2; 2; 219562523]
879192282,78,68433393,[2; 3; 19; 7712213]
880182099,0,450726,[3; 3; 3; 641; 50857]
884965972,0,2566,[2; 2; 11; 29; 43; 127; 127]
890677707,2657,2663133983,[3; 296892569]
894116647,8203,8203339906,[894116647]
895529875,63,65302686,[5; 5; 5; 7164239]
895614017,140,131665048,[61; 14682197]
895697114,313,321519093,[2; 13; 34449889]
897009222,1406,1404676775,[2; 3; 149501537]
897952646,0,3468966,[2; 1279; 351037]
897993157,0,40198,[59; 3623; 4201]
901241752,47,48004896,[2; 2; 2; 23; 4898053]
901682620,0,80822,[2; 2; 5; 19; 269; 8821]
904075872,0,1695996,[2; 2; 2; 2; 2; 3; 7; 7; 192193]
913517499,0,34639,[3; 43; 1867; 3793]
913602567,15,22988314,[3; 127; 2397907]
914226388,47,35207524,[2; 2; 71; 3219107]
923899611,16,16621273,[3; 167; 1844111]
927877464,0,35921,[2; 2; 2; 3; 3; 3; 19; 107; 2113]
928741502,328,340401694,[2; 13; 35720827]
930269038,0,369048,[2; 53; 211; 41593]
930715525,344,335357325,[5; 5; 37228621]
939538149,250,254714129,[3; 11; 28470853]
940847489,0,561056,[31; 479; 63361]
942184191,0,277534,[3; 13; 773; 31253]
942495563,0,715859,[29; 401; 81047]
944666009,0,154804,[7; 7759; 17393]
945276292,2187,2182774565,[2; 2; 236319073]
947246542,391,388009745,[2; 11; 43056661]
955232363,0,127007,[17; 29; 137; 14143]
955250466,31,30503551,[2; 3; 47; 3387413]
955627293,0,2437941,[3; 1201; 265231]
959907847,0,424640,[19991; 48017]
962643932,94,93728792,[2; 2; 23; 10463521]
962867201,8641,8635271926,[962867201]
963637174,0,217238,[2; 19; 1039; 24407]
964451574,0,122303,[2; 3; 3; 3917; 13679]
964941331,0,578588,[29; 509; 65371]
966275846,0,2278860,[2; 1877; 257399]
970541148,0,2258334,[2; 2; 3; 317; 255137]
975188125,0,20098,[5; 5; 5; 5; 769; 2029]
975968719,16,7019182,[11; 151; 587579]
977171254,0,16678,[2; 17; 19; 1063; 1423]
977724230,0,6415,[2; 5; 7; 17; 19; 83; 521]
978095555,0,203553,[5; 37; 233; 22691]
980112099,0,5774340,[3; 503; 649511]
982762337,8750,8742395067,[982762337]
990405382,78,82920346,[2; 53; 9343447]
990762246,0,4372556,[2; 3; 3; 3; 37; 495877]
991640871,78,76109849,[3; 3; 13; 8475563]
996316964,2235,2225086372,[2; 2; 249079241]
1005212036,0,1078493,[2; 2; 29; 71; 122051]
1005783562,640,643404240,[2; 7; 71841683]
1007748224,16,10386799,[2; 2; 2; 2; 2; 2; 2; 7; 1124719]
1009950426,0,69705,[2; 3; 3; 31; 239; 7573]
1010923123,1281,1286293607,[7; 144417589]
1012128946,4485,4491099442,[2; 506064473]
1016042784,15,4993053,[2; 2; 2; 2; 2; 3; 19; 557041]
1016216220,0,573458,[2; 2; 3; 5; 263; 64399]
1016220111,157,158739404,[3; 19; 17828423]
1016931578,0,7697,[2; 13; 179; 353; 619]
1019815484,2265,2273426104,[2; 2; 254953871]
1021668331,0,69277,[83; 1619; 7603]
1022842586,157,156137252,[2; 29; 17635217]
1023789945,609,609159746,[3; 5; 68252663]
1024900215,0,345956,[3; 5; 1753; 38977]
1028714244,766,763092117,[2; 2; 3; 85726187]
1031545801,0,46184,[11; 13; 31; 47; 4951]
1031746486,0,1459086,[2; 3119; 165397]
1032092095,15,12249572,[5; 157; 1314767]
1032290927,9220,9217200802,[1032290927]
1033110997,0,1084052,[19; 443; 122741]
1035164582,4609,4599315188,[2; 517582291]
1038075359,9219,9231638150,[1038075359]
1040765498,4641,4638771681,[2; 520382749]
1041125487,0,889050,[3; 3449; 100621]
1042502499,0,686353,[3; 3; 1553; 74587]
1043956942,672,669658820,[2; 7; 74568353]
1044704034,16,15316562,[2; 3; 3; 3; 11; 1758761]
1045779539,1344,1335238014,[7; 149397077]
1047279890,0,70560,[2; 5; 83; 163; 7741]
1047980775,125,129186054,[3; 5; 5; 13973077]
1049045614,31,23876509,[2; 199; 2635793]
1049811037,0,22664,[11; 61; 677; 2311]
1054658416,0,19244,[2; 2; 2; 2; 7; 41; 241; 953]
1058492473,15,26176752,[359; 2948447]
1062839627,0,22665,[293; 1571; 2309]
1065116296,1235,1222262705,[2; 2; 2; 133139537]
1070727629,0,13941720,[677; 1581577]
1076485605,0,799247,[3; 5; 13; 61; 90499]
1076816290,0,45329,[2; 5; 11; 2039; 4801]
1078772435,0,3132419,[5; 13; 47; 353117]
1081518500,0,467403,[2; 2; 5; 5; 5; 41; 52757]
1081957521,0,1041289,[3; 3079; 117133]
1082106870,0,9836,[2; 3; 5; 13; 29; 241; 397]
1082682075,125,129191614,[3; 5; 5; 14435761]
1083698400,0,3981699,[2; 2; 2; 2; 2; 3; 5; 5; 451541]
1085936683,0,10691,[13; 131; 601; 1061]
1091392141,218,207368217,[7; 7; 22273309]
1092288360,78,82332349,[2; 2; 2; 3; 5; 9102403]
1093313552,0,1643397,[2; 2; 2; 2; 367; 186191]
1095227818,0,36777,[2; 107; 1283; 3989]
1097303652,0,17961,[2; 2; 3; 3; 3; 31; 179; 1831]
1097882679,0,66711,[3; 59; 839; 7393]
1098478046,0,300199,[2; 19; 853; 33889]
1102919879,94,91616709,[109; 10118531]
1104834415,2000,1991557652,[5; 220966883]
1106564770,1016,1014990278,[2; 5; 110656477]
1111993517,62,72036209,[137; 8116741]
1114085434,63,64264391,[2; 7; 11; 7234321]
1117483623,0,378456,[3; 3; 2909; 42683]
1118439218,0,85099,[2; 13; 19; 239; 9473]
1119835174,0,464838,[2; 29; 367; 52609]
1121856664,1313,1299599008,[2; 2; 2; 140232083]
1126412990,0,5548550,[2; 5; 179; 629281]
1128369090,0,3042187,[2; 3; 5; 109; 345067]
1130958039,0,43191,[3; 47; 1699; 4721]
1136909917,78,70507845,[11; 13; 7950419]
1139501983,0,34638,[383; 797; 3733]
1140044725,406,411099408,[5; 5; 45601789]
1141046674,5078,5075199844,[2; 570523337]
1142925901,782,783011731,[13; 87917377]
1143490070,0,6765595,[2; 5; 149; 767443]
1144073955,703,699449079,[3; 5; 76271597]
1144854461,78,77452192,[163; 7023647]
1147624552,0,3093931,[2; 2; 2; 409; 350741]
1148129170,0,78685,[2; 5; 17; 773; 8737]
1150229624,1297,1299569928,[2; 2; 2; 143778703]
1152171246,78,74137601,[2; 3; 23; 8349067]
1152901113,0,82105,[3; 7; 13; 467; 9043]
1157022699,0,408391,[3; 7; 1193; 46183]
1157492978,0,1943169,[2; 37; 71; 220307]
1159744537,16,2083005,[7; 733; 226027]
1160530626,0,3273965,[2; 3; 521; 371251]
1163644332,875,872121650,[2; 2; 3; 96970361]
1165104707,46,47337787,[13; 17; 5271967]
1169030876,204,212195349,[2; 2; 13; 22481363]
1169174105,0,2259617,[5; 11; 83; 256117]
1170735740,0,549937,[2; 2; 5; 941; 62207]
1171100319,3484,3482967985,[3; 390366773]
1171800784,0,764181,[2; 2; 2; 2; 7; 11; 11; 86467]
1173844922,16,3754198,[2; 1483; 395767]
1174904719,0,1397080,[7417; 158407]
1178276074,5297,5296097114,[2; 589138037]
1182757340,0,82533,[2; 2; 5; 41; 163; 8849]
1183462161,0,26941,[3; 7; 7; 7; 397; 2897]
1186381163,78,87445567,[11; 11; 9804803]
1187481748,63,51926726,[2; 2; 53; 5601329]
1195625036,2781,2779650101,[2; 2; 298906259]
1199119976,31,37856716,[2; 2; 2; 37; 4051081]
1200190697,10876,10877080065,[1200190697]
1204492588,0,4981935,[2; 2; 13; 41; 564959]
1207722774,16,29307459,[2; 3; 61; 3299789]
1208944297,0,1597640,[11; 607; 181061]
1209801776,0,10951703,[2; 2; 2; 2; 61; 1239551]
1212330430,0,11118,[2; 5; 163; 701; 1061]
1213287667,0,1297442,[73; 113; 147083]
1216880632,125,125561002,[2; 2; 2; 11; 13828189]
1216927272,0,21382,[2; 2; 2; 3; 11; 2141; 2153]
1217588169,531,520348744,[3; 7; 57980389]
1220165779,0,16678,[7; 233; 457; 1637]
